45.2450714129	13.9757305384	30	344
45.2457616538	13.9777019431	30	336
45.2467445802	13.9796116948	30	321
45.2479456044	13.9811888337	30	309.5
45.249378869	13.9824870229	30	305
45.2513275976	13.9834955335	30	296.5
45.2529703692	13.9848580956	30	295
45.2541259455	13.9868080616	30	313.5
45.2547698104	13.9897155762	30	333
45.2553041561	13.9923146367	30	331.5
45.2569241556	13.99479568	30	314
45.2583232089	13.9961394668	30	305
45.2576718321	13.99548769	30	304
45.2559536719	13.9935860038	30	308.5
45.2549982768	13.9910271764	30	328
45.25448281	13.9882859588	30	343
45.2538785938	13.9862152934	30	334
45.2527192359	13.9846032858	30	314.5
45.2511123344	13.9833399653	30	295.5
45.2491466033	13.982296586	30	291.5
45.2477680962	13.980974257	30	304
45.246610502	13.9793783426	30	312.5
45.2451337326	13.9760550857	30	328

